食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
なつめやし　乾,281,24.8,2.2,0.2,71.3,0
パインアップル　生,54,85.2,0.6,0.1,13.7,0
パインアップル　焼き,74,78.2,0.9,0.2,20.1,0
パインアップル　果実飲料　ストレートジュース,46,88.2,0.3,0.1,11,0
パインアップル　果実飲料　濃縮還元ジュース,45,88.3,0.1,0.1,11.1,0
パインアップル　果実飲料　50%果汁入り飲料,50,87.3,0.3,0.1,12.1,0
パインアップル　果実飲料　10%果汁入り飲料,50,87.6,Tr,Tr,12.4,0
パインアップル　缶詰,76,78.9,0.4,0.1,20.3,0
パインアップル　砂糖漬,349,12,0.5,0.2,86.8,0.1
ハスカップ　生,55,85.5,0.7,0.6,12.8,0
パッションフルーツ　果汁　生,67,82,0.8,0.4,16.2,0
バナナ　生,93,75.4,1.1,0.2,22.5,0
バナナ　乾,314,14.3,3.8,0.4,78.5,0
パパイア　完熟　生,33,89.2,0.5,0.2,9.5,0
パパイア　未熟　生,35,88.7,1.3,0.1,9.4,0
びわ　生,41,88.6,0.3,0.1,10.6,0
びわ　缶詰,80,79.6,0.3,0.1,19.8,0
ぶどう　皮なし　生,58,83.5,0.4,0.1,15.7,0
ぶどう　皮つき　生,69,81.7,0.6,0.2,16.9,0
ぶどう　皮つき　シャインマスカット　生,61,82.5,0.7,0.2,16.1,0
ぶどう　干しぶどう,324,14.5,2.7,0.2,80.3,0
ぶどう　果実飲料　ストレートジュース,54,84.8,0.3,0.2,14.3,0
ぶどう　果実飲料　濃縮還元ジュース,46,87.2,0.3,0.3,12,0
ぶどう　果実飲料　70%果汁入り飲料,52,86.8,0.2,Tr,12.9,0
ぶどう　果実飲料　10%果汁入り飲料,52,86.9,Tr,Tr,13.1,0
ぶどう　缶詰,83,78.9,0.4,0.1,20.4,0
ぶどう　ジャム,189,51.4,0.5,0.1,47.5,0
ブルーベリー　生,48,86.4,0.5,0.1,12.9,0
ブルーベリー　ジャム,174,55.1,0.7,0.3,43.8,0
ブルーベリー　乾,280,21.9,2.7,1.9,72.5,0
ホワイトサポテ　生,73,79,1.5,0.1,18.9,0
まくわうり　黄肉種　生,34,90.8,0.8,0.1,7.8,0
まくわうり　白肉種　生,34,90.8,0.8,0.1,7.8,0
マルメロ　生,48,84.2,0.3,0.1,15.1,0
マンゴー　生,68,82,0.6,0.1,16.9,0
マンゴー　ドライマンゴー,339,9.3,3.1,0.7,84.9,0
マンゴスチン　生,71,81.5,0.6,0.2,17.5,0
メロン　温室メロン　生,40,87.8,1.1,0.1,10.3,0
メロン　露地メロン　緑肉種　生,45,87.9,1,0.1,10.4,0
メロン　露地メロン　赤肉種　生,45,87.9,1,0.1,10.4,0
もも類　もも　白肉種　生,38,88.7,0.6,0.1,10.2,0
もも類　もも　黄肉種　生,48,85.4,0.5,0.2,13.4,0
もも類　もも　果実飲料　30%果汁入り飲料　ネクター,46,88,0.2,0.1,11.6,0
もも類　もも　缶詰　白肉種　果肉,82,78.5,0.5,0.1,20.6,0
もも類　もも　缶詰　黄肉種　果肉,83,78.5,0.5,0.1,20.6,0
もも類　もも　缶詰　液汁,81,79.5,0.3,0.1,19.8,0
もも類　ネクタリン　生,39,87.8,0.7,0.3,10.7,0
やまもも　生,47,87.8,0.5,0.2,11.3,0
ライチー　生,61,82.1,1,0.1,16.4,0
ラズベリー　生,36,88.2,1.1,0.1,10.2,0
りゅうがん　乾,310,19.4,5.1,0.4,72.9,0
りんご　皮なし　生,53,84.1,0.1,0.2,15.5,0
りんご　皮つき　生,56,83.1,0.2,0.3,16.2,0
りんご　皮つき　焼き,86,77.2,0.2,0.4,21.9,0
りんご　果実飲料　ストレートジュース,43,87.7,0.2,0.1,11.8,0
りんご　果実飲料　濃縮還元ジュース,47,88.1,0.1,0.2,11.4,0
りんご　果実飲料　50%果汁入り飲料,46,88.3,0.1,Tr,11.5,0
りんご　果実飲料　30%果汁入り飲料,46,88.5,Tr,Tr,11.4,0
りんご　缶詰,81,79.4,0.3,0.1,20.1,0
りんご　ジャム,203,46.9,0.2,0.1,52.7,0
えのきたけ　生,34,88.6,2.7,0.2,7.6,0
えのきたけ　ゆで,34,88.6,2.8,0.1,7.8,0
えのきたけ　油いため,71,83.3,3,3.9,8.8,0
えのきたけ　味付け瓶詰,76,74.1,3.6,0.3,16.9,4.3
きくらげ類　あらげきくらげ　生,14,93.6,0.7,0.1,5.4,0
きくらげ類　あらげきくらげ　乾,184,13.1,6.9,0.7,77,0.1
きくらげ類　あらげきくらげ　ゆで,38,82.3,1.2,0.1,16.1,0
きくらげ類　あらげきくらげ　油いため,110,64.2,2.3,5.2,27.8,0
きくらげ類　きくらげ　乾,216,14.9,7.9,2.1,71.1,0.1
きくらげ類　きくらげ　ゆで,14,93.8,0.6,0.2,5.2,0
きくらげ類　しろきくらげ　乾,170,14.6,4.9,0.7,74.5,0.1
きくらげ類　しろきくらげ　ゆで,15,92.6,0.4,Tr,6.7,0
くろあわびたけ　生,28,90.2,3.7,0.4,4.9,0
しいたけ　生しいたけ　菌床栽培　生,25,89.6,3.1,0.3,6.4,0
しいたけ　生しいたけ　菌床栽培　ゆで,22,91.5,2.5,0.4,5.1,0
しいたけ　生しいたけ　菌床栽培　油いため,65,84.7,3.3,4.1,7.3,0
しいたけ　生しいたけ　菌床栽培　天ぷら,201,64.1,3.4,14,17.8,0.1
しいたけ　生しいたけ　原木栽培　生,34,88.3,3.1,0.4,7.6,0
しいたけ　生しいたけ　原木栽培　ゆで,27,90.8,2.4,0.4,5.9,0
しいたけ　生しいたけ　原木栽培　油いため,84,81.3,3.8,5.4,8.8,0
しいたけ　乾しいたけ　乾,258,9.1,21.2,2.8,62.5,0
しいたけ　乾しいたけ　ゆで,40,86.2,3.1,0.3,9.9,0
しいたけ　乾しいたけ　甘煮,116,64.7,3.3,0.4,28.9,2.6
しめじ類　はたけしめじ　生,25,92,2.6,0.3,4.5,0
しめじ類　はたけしめじ　ゆで,25,91.3,2.6,0.3,5.1,0
しめじ類　ぶなしめじ　生,26,91.1,2.7,0.5,4.8,0
しめじ類　ぶなしめじ　ゆで,22,91.1,2.7,0.2,5.2,0
しめじ類　ぶなしめじ　油いため,65,85.9,3,5.5,4.8,0
しめじ類　ぶなしめじ　素揚げ,168,70.5,3.9,14.3,10.1,0
しめじ類　ぶなしめじ　天ぷら,248,55.5,3.4,17.1,23.2,0.1
しめじ類　ほんしめじ　生,21,93.6,2.5,0.4,2.8,0
しめじ類　ほんしめじ　ゆで,26,92.1,2.8,0.6,4.1,0
たもぎたけ　生,23,91.7,3.6,0.3,3.7,0
なめこ　株採り　生,21,92.1,1.8,0.2,5.4,0
なめこ　株採り　ゆで,22,92.7,1.6,0.1,5.1,0
なめこ　カットなめこ　生,14,94.9,1.1,0.1,3.6,0
なめこ　水煮缶詰,13,95.5,1,0.1,3.2,0
ぬめりすぎたけ　生,23,92.6,2.3,0.4,4.1,0
ひらたけ類　うすひらたけ　生,37,88,6.1,0.2,4.8,0
ひらたけ類　エリンギ　生,31,90.2,2.8,0.4,6,0
ひらたけ類　エリンギ　ゆで,32,89.3,3.2,0.5,6.5,0
ひらたけ類　エリンギ　焼き,41,85.3,4.2,0.5,9.1,0
ひらたけ類　エリンギ　油いため,69,84.2,3.2,3.7,8.1,0
ひらたけ類　ひらたけ　生,34,89.4,3.3,0.3,6.2,0
ひらたけ類　ひらたけ　ゆで,33,89.1,3.4,0.2,6.6,0
まいたけ　生,22,92.7,2,0.5,4.4,0
まいたけ　ゆで,27,91.1,1.6,0.5,6.4,0
まいたけ　油いため,67,85.5,2.6,4.4,6.8,0
まいたけ　乾,273,9.3,21.9,3.9,59.9,0
マッシュルーム　生,15,93.9,2.9,0.3,2.1,0
マッシュルーム　ゆで,20,91.5,3.8,0.2,3.7,0
マッシュルーム　油いため,57,86.4,3.6,4.5,4.5,0
マッシュルーム　ブラウン種　生,18,92.7,3.2,0.4,2.9,0
マッシュルーム　水煮缶詰,18,92,3.4,0.2,3.3,0.9
まつたけ　生,32,88.3,2,0.6,8.2,0
やなぎまつたけ　生,20,92.8,2.4,0.1,4,0
あおさ　素干し,201,16.9,22.1,0.6,41.7,9.9
あおのり　素干し,249,6.5,29.4,5.2,41,8.1
あまのり　ほしのり,276,8.4,39.4,3.7,38.7,1.5
あまのり　焼きのり,297,2.3,41.4,3.7,44.3,1.3
あまのり　味付けのり,303,3.4,40,3.5,41.8,4.3
あらめ　蒸し干し,184,16.7,12.4,0.7,56.2,5.8
いわのり　素干し,228,8.4,34.8,0.7,39.1,5.3
うみぶどう　生,6,97,0.5,0.1,1.2,0.8
えごのり　素干し,179,15.2,9,0.1,62.2,6.1
えごのり　おきうと,7,96.9,0.3,0.1,2.5,0.1
おごのり　塩蔵　塩抜き,26,89,1.3,0.1,8.8,0.3
かわのり　素干し,247,13.7,38.1,1.6,41.7,0.2
こんぶ類　えながおにこんぶ　素干し,224,10.4,11,1,55.7,6.1
こんぶ類　がごめこんぶ　素干し,216,8.3,7.9,0.5,62.1,7.6
こんぶ類　ながこんぶ　素干し,205,10,8.3,1.5,58.5,7.6
こんぶ類　ほそめこんぶ　素干し,227,11.3,6.9,1.7,62.9,6.1
こんぶ類　まこんぶ　素干し　乾,170,9.5,5.8,1.3,64.3,6.6
こんぶ類　まこんぶ　素干し　水煮,28,83.9,1.1,0.3,11.6,0.9
こんぶ類　みついしこんぶ　素干し,235,9.2,7.7,1.9,64.7,7.6
こんぶ類　りしりこんぶ　素干し,211,13.2,8,2,56.5,6.9
こんぶ類　刻み昆布,119,15.5,5.4,0.5,50.2,10.9
こんぶ類　削り昆布,177,24.4,6.5,0.9,50.2,5.3
こんぶ類　塩昆布,193,24.1,16.9,0.4,37,18
こんぶ類　つくだ煮,150,49.6,6,1,33.3,7.4
すいぜんじのり　素干し　水戻し,10,96.1,1.5,Tr,2.1,0
てんぐさ　素干し,194,15.2,16.1,1,53.8,4.8
てんぐさ　ところてん,2,99.1,0.2,0,0.6,0
てんぐさ　角寒天,159,20.5,2.4,0.2,74.1,0.3
てんぐさ　寒天,3,98.5,Tr,Tr,1.5,0
てんぐさ　粉寒天,160,16.7,0.2,0.3,81.7,0.4
とさかのり　赤とさか　塩蔵　塩抜き,19,92.1,1.5,0.1,5.1,0.7
とさかのり　青とさか　塩蔵　塩抜き,17,92.2,0.9,0.2,4.9,0.8
ひじき　ほしひじき　ステンレス釜　乾,180,6.5,9.2,3.2,58.4,4.7
ひじき　ほしひじき　ステンレス釜　ゆで,11,94.5,0.7,0.3,3.4,0.1
ひじき　ほしひじき　ステンレス釜　油いため,51,89,0.8,4.7,4.1,0.2
ひじき　ほしひじき　鉄釜　乾,186,6.5,9.2,3.2,56,4.7
ひじき　ほしひじき　鉄釜　ゆで,13,94.5,0.7,0.3,3.4,0.1
ひじき　ほしひじき　鉄釜　油いため,54,89,0.8,4.7,4.1,0.2
ひとえぐさ　素干し,172,16,16.6,1,46.3,11.4
ひとえぐさ　つくだ煮,148,56.5,14.4,1.3,21.1,5.8
ふのり　素干し,207,14.7,13.8,1,57.8,6.9
まつも　素干し,252,12.6,27.9,4.9,40.8,3.3
むかでのり　塩蔵　塩抜き,12,93.7,0.6,0.1,4.2,0.6
もずく類　おきなわもずく　塩蔵　塩抜き,7,96.7,0.3,0.2,2,0.6
もずく類　もずく　塩蔵　塩抜き,4,97.7,0.2,0.1,1.4,0.2
わかめ　原藻　生,24,89,1.9,0.2,5.6,1.5
わかめ　乾燥わかめ　素干し,172,11.3,14.4,2.6,39.6,16.2
わかめ　乾燥わかめ　素干し　水戻し,20,91.7,1.6,0.3,4.9,0.7
わかめ　乾燥わかめ　素干し　水戻し　水煮,10,95.3,1,0.3,2.6,0.4
わかめ　乾燥わかめ　板わかめ,200,7.2,16.7,1.2,47.4,9.9
わかめ　乾燥わかめ　灰干し　水戻し,9,96,1.1,0.1,2.2,0.1
わかめ　カットわかめ　乾,186,9.2,17.9,4,42.1,23.5
わかめ　カットわかめ　水煮　沸騰水で短時間加熱したもの,17,93.6,1.3,0.8,3.8,0.8
わかめ　カットわかめ　水煮の汁,0,99.8,0,0,0.1,0.2
わかめ　湯通し塩蔵わかめ　塩抜き　生,16,93.3,1.5,0.3,3.4,1.4
わかめ　湯通し塩蔵わかめ　塩抜き　ゆで,7,97.5,0.6,0.1,1.4,0.3
わかめ　くきわかめ　湯通し塩蔵　塩抜き,18,84.9,1.1,0.3,5.5,7.9
わかめ　めかぶわかめ　生,14,94.2,0.9,0.6,3.4,0.4
＜魚類＞　あいなめ　生,105,76,19.1,3.4,0.1,0.4
＜魚類＞　あこうだい　生,86,79.8,16.8,2.3,0.1,0.2
＜魚類＞　あじ類　まあじ　皮つき　生,112,75.1,19.7,4.5,0.1,0.3
＜魚類＞　あじ類　まあじ　皮なし　生,108,75.6,19.7,4.1,0.2,0.3
＜魚類＞　あじ類　まあじ　皮つき　水煮,136,70.3,22.4,5.9,0.1,0.3
＜魚類＞　あじ類　まあじ　皮つき　焼き,157,65.3,25.9,6.4,0.1,0.4
＜魚類＞　あじ類　まあじ　皮つき　フライ,270,52.3,20.1,18.2,7.9,0.4
＜魚類＞　あじ類　まあじ　開き干し　生,150,68.4,20.2,8.8,0.1,1.7
＜魚類＞　あじ類　まあじ　開き干し　焼き,194,60,24.6,12.3,0.1,2
＜魚類＞　あじ類　まあじ　小型　骨付き　生,114,73.4,17.8,5,0.1,0.3
＜魚類＞　あじ類　まあじ　小型　骨付き　から揚げ,268,50.3,24,18.6,3.5,0.3
＜魚類＞　あじ類　まるあじ　生,133,71.2,22.1,5.6,0.2,0.2
＜魚類＞　あじ類　まるあじ　焼き,175,62.4,28.7,7.7,0.2,0.2
＜魚類＞　あじ類　にしまあじ　生,156,69.9,19.6,9.1,0.1,0.4
＜魚類＞　あじ類　にしまあじ　水煮,160,68,21.7,8.8,0.1,0.5
＜魚類＞　あじ類　にしまあじ　焼き,186,63,24.7,10.4,0.1,0.6
＜魚類＞　あじ類　にしまあじ　開き干し　生,163,68,20,10.2,Tr,1.4
＜魚類＞　あじ類　にしまあじ　開き干し　焼き,203,60.1,25.2,12.3,0.1,1.9
＜魚類＞　あじ類　むろあじ　生,147,67.7,23.6,6.9,0.4,0.1
＜魚類＞　あじ類　むろあじ　焼き,167,61.9,29.7,6.2,0.6,0.2
＜魚類＞　あじ類　むろあじ　開き干し,140,67.9,22.9,6.2,0.1,2.1
＜魚類＞　あじ類　むろあじ　くさや,223,38.6,49.9,3,0.3,4.1
＜魚類＞　あなご　生,146,72.2,17.3,9.3,Tr,0.4
＜魚類＞　あなご　蒸し,173,68.5,17.6,12.7,Tr,0.3
＜魚類＞　あまご　養殖　生,102,76.8,18.3,3.6,0.1,0.1
＜魚類＞　あまだい　生,102,76.5,18.8,3.6,Tr,0.2
＜魚類＞　あまだい　水煮,113,74.2,20.7,4,Tr,0.2
＜魚類＞　あまだい　焼き,110,73.6,22.5,2.6,Tr,0.3
＜魚類＞　あゆ　天然　生,93,77.7,18.3,2.4,0.1,0.2
＜魚類＞　あゆ　天然　焼き,149,64,26.6,6.8,0.1,0.3
＜魚類＞　あゆ　天然　内臓　生,180,68.6,9.5,17.5,0.3,0.2
＜魚類＞　あゆ　天然　内臓　焼き,161,58.6,23,10.1,0.4,0.4
＜魚類＞　あゆ　養殖　生,138,72,17.8,7.9,0.6,0.1
＜魚類＞　あゆ　養殖　焼き,202,59.3,22.6,15.1,0.8,0.2
＜魚類＞　あゆ　養殖　内臓　生,485,36.6,7.4,55,0.3,0.2
＜魚類＞　あゆ　養殖　内臓　焼き,500,31.5,15.2,52.3,0.4,0.3
＜魚類＞　あゆ　うるか,157,59.6,11.4,13.1,1.8,13
＜魚類＞　アラスカめぬけ　生,96,78.4,17.2,3.4,0.1,0.2
＜魚類＞　あんこう　生,54,85.4,13,0.2,0.3,0.3
＜魚類＞　あんこう　きも　生,401,45.1,10,41.9,2.2,0.3
＜魚類＞　いかなご　生,111,74.2,17.2,5.5,0.1,0.5
＜魚類＞　いかなご　煮干し,218,38,43.1,6.1,1.5,7.1
＜魚類＞　いかなご　つくだ煮,271,26.9,29.4,4.6,30.7,5.6
＜魚類＞　いかなご　あめ煮,268,28.1,25.6,3.7,35.8,4.3
＜魚類＞　いさき　生,116,75.8,17.2,5.7,0.1,0.4
＜魚類＞　いしだい　生,138,71.6,19.5,7.8,Tr,0.1
＜魚類＞　いとよりだい　生,85,78.8,18.1,1.7,0.1,0.2
＜魚類＞　いとよりだい　すり身,90,76.9,16.7,0.4,5.1,0.7
＜魚類＞　いぼだい　生,132,74,16.4,8.5,Tr,0.5
＜魚類＞　いわし類　うるめいわし　生,124,71.7,21.3,4.8,0.3,0.2
＜魚類＞　いわし類　うるめいわし　丸干し,219,40.1,45,5.1,0.3,5.8
＜魚類＞　いわし類　かたくちいわし　生,171,68.2,18.2,12.1,0.3,0.2
＜魚類＞　いわし類　かたくちいわし　煮干し,298,15.7,64.5,6.2,0.3,4.3
＜魚類＞　いわし類　かたくちいわし　田作り,304,14.9,66.6,5.7,0.3,1.8
＜魚類＞　いわし類　まいわし　生,156,68.9,19.2,9.2,0.2,0.2
＜魚類＞　いわし類　まいわし　水煮,182,61.7,22.4,8.7,0.2,0.2
＜魚類＞　いわし類　まいわし　焼き,199,57.8,25.3,9.4,0.2,0.3
＜魚類＞　いわし類　まいわし　フライ,384,37.8,20,30.3,10.7,0.4
＜魚類＞　いわし類　まいわし　塩いわし,143,66.3,16.8,9.6,0.4,6.1
＜魚類＞　いわし類　まいわし　生干し,217,59.6,20.6,16,1.1,1.8
＜魚類＞　いわし類　まいわし　丸干し,177,54.6,32.8,5.5,0.7,3.8
＜魚類＞　いわし類　めざし　生,206,59,18.2,18.9,0.5,2.8
＜魚類＞　いわし類　めざし　焼き,200,56.2,23.7,15,0.7,3.6
＜魚類＞　いわし類　しらす　生,67,81.8,15,1.3,0.1,1
＜魚類＞　いわし類　しらす　釜揚げしらす,84,77.4,17.6,1.7,Tr,2.1
＜魚類＞　いわし類　しらす干し　微乾燥品,113,67.5,24.5,2.1,0.1,4.2
＜魚類＞　いわし類　しらす干し　半乾燥品,187,46,40.5,3.5,0.5,6.6
＜魚類＞　いわし類　たたみいわし,348,10.7,75.1,5.6,0.7,2.2
＜魚類＞　いわし類　みりん干し　かたくちいわし,330,18.5,44.3,7,25,2.8
＜魚類＞　いわし類　みりん干し　まいわし,314,33.5,31.4,15.7,16.3,1.7
＜魚類＞　いわし類　缶詰　水煮,168,66.3,20.7,10.6,0.1,0.8
＜魚類＞　いわし類　缶詰　味付け,203,59.1,20.4,11.9,5.7,1.4
＜魚類＞　いわし類　缶詰　トマト漬,167,68.1,17.5,10.8,1.3,0.7
＜魚類＞　いわし類　缶詰　油漬,351,46.2,20.3,30.7,0.3,0.8
＜魚類＞　いわし類　缶詰　かば焼,234,56.1,16.2,15.6,9.3,1.5
＜魚類＞　いわし類　缶詰　アンチョビ,157,54.3,24.2,6.8,0.1,13.1
＜魚類＞　いわな　養殖　生,101,76.1,19,3.6,0.1,0.1
＜魚類＞　うぐい　生,93,77,20.1,1.5,0.2,0.2
＜魚類＞　うなぎ　養殖　生,228,62.1,17.1,19.3,0.3,0.2
＜魚類＞　うなぎ　きも　生,102,77.2,13,5.3,3.5,0.4
＜魚類＞　うなぎ　白焼き,300,52.1,20.7,25.8,0.1,0.3
＜魚類＞　うなぎ　かば焼,285,50.5,23,21,3.1,1.3
＜魚類＞　うまづらはぎ　生,75,80.2,18.2,0.3,Tr,0.5
＜魚類＞　うまづらはぎ　味付け開き干し,289,21.5,58.9,1.6,10.4,6.1
＜魚類＞　えい　生,79,79.3,19.1,0.3,0.1,0.7
＜魚類＞　えそ　生,87,77.6,20.1,0.8,0.1,0.3
＜魚類＞　おいかわ　生,124,73.8,19.2,5.8,0.1,0.1
＜魚類＞　おおさが　生,131,74.7,16.3,8,0.1,0.2
＜魚類＞　おこぜ　生,81,78.8,19.6,0.2,0.2,0.2
＜魚類＞　おひょう　生,93,77,19.9,1.7,0.1,0.2
＜魚類＞　かさご　生,83,79.1,19.3,1.1,0.1,0.3
＜魚類＞　かじか　生,98,76.4,15,5,0.2,0.3
＜魚類＞　かじか　水煮,108,73.5,15.8,5.8,0.2,0.2
＜魚類＞　かじか　つくだ煮,293,23.8,29.4,5.5,33.8,4.3
＜魚類＞　かじき類　くろかじき　生,93,75.6,22.9,0.2,0.1,0.2
＜魚類＞　かじき類　まかじき　生,107,73.8,23.1,1.8,0.1,0.2
＜魚類＞　かじき類　めかじき　生,139,72.2,19.2,7.6,0.1,0.2
＜魚類＞　かじき類　めかじき　焼き,202,59.9,27.5,11.1,0,0.3
＜魚類＞　かつお類　かつお　春獲り　生,108,72.2,25.8,0.5,0.1,0.1
＜魚類＞　かつお類　かつお　秋獲り　生,150,67.3,25,6.2,0.2,0.1
＜魚類＞　かつお類　そうだがつお　生,126,69.9,25.7,2.8,0.3,0.2
＜魚類＞　かつお類　加工品　なまり,126,66.9,29.8,0.7,0.4,0.3
＜魚類＞　かつお類　加工品　なまり節,162,58.8,38,1.1,0.5,0.2
＜魚類＞　かつお類　加工品　裸節,309,22.6,71.6,3.3,0.2,0.8
＜魚類＞　かつお類　加工品　かつお節,332,15.2,77.1,2.9,0.8,0.3
＜魚類＞　かつお類　加工品　削り節,327,17.2,75.7,3.2,0.4,1.2
＜魚類＞　かつお類　加工品　削り節つくだ煮,233,36.1,19.5,3.3,32.3,7.9
＜魚類＞　かつお類　加工品　角煮,221,41.4,31,1.6,21.4,3.8
＜魚類＞　かつお類　加工品　塩辛,58,72.9,12,1.5,Tr,12.7
＜魚類＞　かつお類　缶詰　味付け　フレーク,139,65.8,18.4,2.7,10.7,1.7
＜魚類＞　かつお類　缶詰　油漬　フレーク,289,55.5,18.8,24.2,0.1,0.9
＜魚類＞　かます　生,137,72.7,18.9,7.2,0.1,0.3
＜魚類＞　かます　焼き,134,70.3,23.3,4.9,0.1,0.4
＜魚類＞　かれい類　まがれい　生,89,77.8,19.6,1.3,0.1,0.3
＜魚類＞　かれい類　まがれい　水煮,97,75.6,21.4,1.1,0.1,0.3
＜魚類＞　かれい類　まがれい　焼き,104,73.9,23.4,1.3,0.1,0.3
＜魚類＞　かれい類　まこがれい　生,86,79,18,1.8,0.1,0.3
＜魚類＞　かれい類　まこがれい　焼き,138,66.2,28.5,2.8,0.2,0.5
＜魚類＞　かれい類　子持ちがれい　生,123,72.7,19.9,6.2,0.1,0.2
＜魚類＞　かれい類　子持ちがれい　水煮,137,69.3,22.3,7.2,0.1,0.2
＜魚類＞　かれい類　干しかれい,104,74.6,20.2,3.4,Tr,1.1
＜魚類＞　かわはぎ　生,77,79.9,18.8,0.4,Tr,0.3
＜魚類＞　かんぱち　三枚おろし　生,119,73.3,21,4.2,0.1,0.2
＜魚類＞　かんぱち　背側　生,95,76.1,22.2,1.2,0.1,0.1
＜魚類＞　きす　生,73,80.8,18.5,0.2,0,0.3
＜魚類＞　きす　天ぷら,234,57.5,18.4,15.2,7.8,0.3
＜魚類＞　きちじ　生,238,63.9,13.6,21.7,Tr,0.2
＜魚類＞　きびなご　生,85,78.2,18.8,1.4,0.1,0.4
