食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
＜でん粉・でん粉製品＞　でん粉製品　タピオカパール　ゆで,61,84.6,0,Tr,15.4,0
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　生,129,67.4,0.1,0.2,32.2,0
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　乾,347,12.6,0.2,0.3,86.7,0.1
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　乾　ゆで,83,79.2,0,0.2,20.6,0
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　緑豆はるさめ　乾,344,11.8,0.2,0.4,87.5,0
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　緑豆はるさめ　ゆで,78,79.3,Tr,0.1,20.6,0
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　普通はるさめ　乾,346,12.9,0,0.2,86.6,0
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　普通はるさめ　ゆで,76,80,0,Tr,19.9,0
砂糖類　黒砂糖,352,4.4,1.7,Tr,90.3,0.1
砂糖類　てんさい含蜜糖,357,2,0.9,Tr,96.9,0.1
砂糖類　和三盆糖,393,0.3,0.2,Tr,99,0
砂糖類　車糖　上白糖,391,0.7,0,0,99.3,0
砂糖類　車糖　三温糖,390,0.9,Tr,0,99,0
砂糖類　ざらめ糖　グラニュー糖,394,Tr,0,0,100,0
砂糖類　ざらめ糖　白ざら糖,393,Tr,0,0,100,0
砂糖類　ざらめ糖　中ざら糖,393,Tr,0,0,100,0
砂糖類　加工糖　角砂糖,394,Tr,0,0,100,0
砂糖類　加工糖　氷砂糖,394,Tr,0,0,100,0
砂糖類　加工糖　コーヒーシュガー,394,0.1,0.1,0,99.8,0
砂糖類　加工糖　粉糖,393,0.3,0,0,99.7,0
砂糖類　液糖　しょ糖型液糖,267,32.1,0,0,67.9,0
砂糖類　液糖　転化型液糖,294,23.4,0,0,76.6,0
砂糖類　氷糖みつ,274,31.5,0.2,0,68.2,0
でん粉糖類　還元麦芽糖,208,0,0,Tr,100,0
でん粉糖類　還元水あめ,210,30.1,0,Tr,69.9,0
でん粉糖類　粉あめ,397,3,0,0,97,0
でん粉糖類　水あめ　酵素糖化,342,15,0,0,85,0
でん粉糖類　水あめ　酸糖化,341,15,0,0,85,0
でん粉糖類　ぶどう糖　全糖,342,9,0,0,91,0
でん粉糖類　ぶどう糖　含水結晶,342,8.7,0,0,91.3,0
でん粉糖類　ぶどう糖　無水結晶,374,0.3,0,0,99.7,0
でん粉糖類　果糖,375,0.1,0,0,99.9,0
でん粉糖類　異性化液糖　ぶどう糖果糖液糖,283,25,0,0,75,0
でん粉糖類　異性化液糖　果糖ぶどう糖液糖,283,25,0,0,75,0
でん粉糖類　異性化液糖　高果糖液糖,282,25,0,0,75,0
その他　黒蜜,199,46.5,1,0,50.5,0
その他　はちみつ,329,17.6,0.3,Tr,81.9,0
その他　はちみつ　国産品　,328,18.1,0.1,Tr,81.7,0
その他　メープルシロップ,266,33,0.1,0,66.3,0
あずき　全粒　乾,304,14.2,20.8,2,59.6,0
あずき　全粒　ゆで,124,63.9,8.6,0.8,25.6,0
あずき　ゆで小豆缶詰,202,45.3,4.4,0.4,49.2,0.2
あずき　あん　こし生あん,147,62,9.8,0.6,27.1,0
あずき　あん　さらしあん　乾燥あん,335,7.8,23.5,1,66.8,0
